Number	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	COL2215_B1_1	COL2215_B1_2	COL2215_B1_3	COL2215_Coinoculation_1	COL2215_Coinoculation_2	COL2215_Coinoculation_3	COL2215_DAOM197198_1	COL2215_DAOM197198_2	COL2215_DAOM197198_3
1	Rhiir2_1|971331	10938.6046820293	13.1886368677504	0.516207494705521	25.5490999317514	5.61858665551731e-144	1.03252766968442e-139	1.60633486348728	6.3077657297599	0	6141.75262110171	7987.99441028963	7234.00677759961	22423.7466107312	31976.9083366579	22675.1192812907
2	Rhiir2_1|1511284	2936.81752428831	10.891867127377	0.494013452839055	22.0477136093811	1.00473144121895e-107	9.23197484764032e-104	4.81900459046183	4.73082429731992	1.81630011358331	1512.59127965111	1312.29767944681	1621.05217871482	6963.51520456127	10440.4195938216	4570.11565339782
3	Rhiir2_1|1701793	864.600522919227	7.30782903767728	0.340095906109591	21.4875536764692	2.03557539796555e-102	1.24692563628043e-98	9.63800918092366	14.1924728919598	9.98965062470819	597.008077061619	764.317309535549	1003.24104087634	1620.50069794687	2168.84075422103	1593.67669393403
4	Rhiir2_1|1845494	613.490182522374	6.32256146971328	0.295726540294602	21.3797566610517	2.06201812877579e-101	9.47342678812817e-98	11.2443440444109	17.3463557568397	18.1630011358331	450.95889082766	585.317709744896	710.482808514247	1153.9929212652	1259.3268895477	1314.57872186458
5	Rhiir2_1|1682927	558.337209463444	5.55583949392093	0.288749438758975	19.2410399750023	1.67807617625936e-82	6.16760117822363e-79	17.66968349836	23.6541214865996	29.0608018173329	406.546272791603	632.538463063902	617.811137838476	953.47642076167	1233.34077912846	1110.93720478459
6	Rhiir2_1|1678379	1239.33641622479	-5.71474091746661	0.308078265345596	-18.5496400113002	8.20999854406108e-77	2.51458572073684e-73	2990.19234838157	1957.77278837423	2938.77358377779	1083.83869784148	1159.65384895049	878.976755197468	47.7420239294112	27.9850419899488	69.0926575807111
7	Rhiir2_1|1678344	457.724579251819	-6.03763978938423	0.329543354058196	-18.3212306212008	5.60313960189575e-75	1.47098423520055e-71	947.737569457493	1014.76181177512	915.415257245987	397.15129589936	449.146235057528	348.220823145323	21.8249252248737	17.9903841363957	7.27291132428538
8	Rhiir2_1|1477046	1605.07831393039	3.71098587095922	0.208983867443541	17.7572839298793	1.51385059669102e-70	3.47750405192386e-67	239.343894659604	275.964750676995	217.956013629997	1199.14068697355	1657.11899438095	1253.17372845645	3483.80368902047	2674.57044161082	3444.63262596466
9	Rhiir2_1|1784915	388.790375732233	4.63741138781389	0.269039778916261	17.2368985972787	1.40368078335215e-66	2.86616019507361e-63	30.5203624062583	22.0771800541596	41.7749026124161	305.763793402088	399.72916763066	368.580508369545	859.356430729403	647.653828910244	823.657207475319
10	Rhiir2_1|1734615	358.779593198789	4.24395706815769	0.254003155188016	16.7082848440063	1.14069524599402e-62	2.09625565356321e-59	35.3393669967201	37.8465943785594	40.8667525556244	266.475708216345	284.42267696797	402.279297706189	673.844566317976	821.560875562069	666.380500087648
11	Rhiir2_1|1678329	3106.99677678331	-5.66439695814228	0.344803259568747	-16.4279101225054	1.20749180132018e-60	2.01727971207827e-57	5521.77609323751	6077.53228062366	5984.708874257	3489.80687106405	3415.2684377235	3124.86065286256	46.3779661028566	169.909183510403	132.730631668208
12	Rhiir2_1|523274	555.607006246354	2.95792625591424	0.181675463140357	16.2813745168715	1.33828882205606e-59	2.04947780691034e-56	146.176472577342	175.828969717057	138.946958689123	333.948724078817	326.152645017325	293.460290473276	1051.6885842736	1273.31941054267	1260.94100084798
13	Rhiir2_1|1716501	560.724002926302	-3.91761269489	0.240777662329011	-16.2706650483913	1.59416874040608e-59	2.25354145711097e-56	1081.86653055868	796.355423382187	984.434661562153	568.82314638489	766.513623643409	658.530508286921	73.6591226339488	59.9679471213189	56.3650627632117
14	Rhiir2_1|1835226	694.212444856314	-6.88462685506206	0.431905473267728	-15.9401241271014	3.33690334462399e-57	4.3801623402968e-54	1883.42762743883	1222.12961014098	1381.29623638011	468.040666995375	775.298880074852	483.718038603079	8.18434695932764	3.99786314142126	21.8187339728561
15	Rhiir2_1|1590266	628.669697597794	-4.21886122178049	0.265958959431223	-15.8628279746729	1.14614518649755e-56	1.40418067281769e-53	927.658383663903	1521.74848230457	1173.32987337482	599.570343486776	654.50160414251	585.516464724192	47.7420239294112	77.9583312577145	70.0017714962467
16	Rhiir2_1|1836245	305.469875228248	-5.499124628259	0.353386656289183	-15.5612118635259	1.3354617085379e-54	1.53386123861256e-51	690.723991299529	667.046225922109	545.798184131784	315.158770294331	204.257212031052	281.525302583215	10.9124626124369	21.9882472778169	11.8184809019637
17	Rhiir2_1|1682931	2921.57416069159	12.4334579296999	0.802820356626484	15.487223046942	4.2317805472236e-54	4.57455477154872e-51	0	1.57694143243997	1.81630011358331	1631.30962401673	2613.61378835432	3636.66101591285	4839.67716861575	8629.38759075779	4940.12501702084
18	Rhiir2_1|1579392	1179.78625422199	6.63174690898912	0.432084395432169	15.3482675586006	3.63771794088123e-53	3.71390792219858e-50	24.0950229523092	11.8270607432998	43.5912027259994	742.203174487191	627.04767779425	1331.80423690862	2606.71450654585	3366.2007650767	1864.59264076366
19	Rhiir2_1|1472844	3815.75645543274	3.14812832649549	0.208541586413499	15.095925856502	1.7225293269264e-51	1.66604849689086e-48	819.230780378511	770.335889746927	862.742553952071	2715.14832185821	3609.64223626918	3819.89818293085	6814.83290146682	8835.27754254098	6094.69968975114
