number	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	COL2215_Coinoculation_1	COL2215_Coinoculation_2	COL2215_Coinoculation_3	COL2215_DAOM197198_1	COL2215_DAOM197198_2	COL2215_DAOM197198_3
1 Rhiir2_1|1678379 503.450421677601 -4.4070201100089 0.318385489692142 -13.8417743668853 1.42641563536971e-43 2.49765377753237e-39 1008.32715706145 1077.89098344718 802.978704940825 43.3742186294114 25.6079565595482 62.5235094271914
2 Rhiir2_1|1716501 336.009282140054 -3.41859338215599 0.262511073607863 -13.0226635210927 9.09424148639082e-39 7.96200842133516e-35 529.192976046434 712.469608377021 601.592671912535 66.9202230282348 54.8741926276033 51.0060208484982
3 Rhiir2_1|1678329 1598.92381632614 -4.87610259365202 0.38224523031416 -12.7564772741427 2.86884105073401e-37 1.67444689327842e-33 3246.6704206092 3174.47060465979 2854.67908601567 42.1349552399997 155.476879111543 120.110952320657
4 Rhiir2_1|1590266 313.183593637262 -3.26520616137426 0.261593981336176 -12.4819621028594 9.36500452187698e-36 4.09953072945165e-32 557.798001778674 608.355138384963 534.891565431828 43.3742186294114 71.3364504158843 63.3461871828123
5 Rhiir2_1|1678344 191.324175979053 -4.76660105236414 0.397037687452824 -12.0054120880666 3.32802053381682e-33 1.16547279094265e-29 369.481582374763 417.478610066191 318.112969369528 19.8282142305881 16.462257788281 6.58142204496751
6 Rhiir2_1|1835226 271.466743990636 -5.54843869649245 0.466127571416438 -11.9032621898598 1.13809563388233e-32 3.32134242487993e-29 435.432058368537 720.635449160711 441.894830434687 7.43558033647053 3.65827950850689 19.7442661349025
7 Rhiir2_1|247991 243.560131613727 -4.58308972749151 0.395631957390408 -11.5842252929253 4.95425360809734e-31 1.23927115253978e-27 496.615030073606 342.965312915013 566.31804829293 14.8711606729411 10.9748385255207 29.6163992023538
8 Rhiir2_1|1476480 130.671525813627 -4.05890808091596 0.381211841550703 -10.6473819501646 1.79337883111779e-26 3.92525791660907e-23 237.580630387213 260.286174980144 239.22608382023 18.5889508411763 20.1205372967879 8.22677755620939
9 Rhiir2_1|1662877 223.690322176882 -4.70604334876259 0.444200896812792 -10.5944030787177 3.16352775102114e-26 6.15481899115335e-23 568.922178452323 473.618765454065 249.487792509569 24.7852677882351 14.6331180340276 10.6948108230722
10 Rhiir2_1|1836245 130.161806872999 -4.26196698790861 0.404561993541978 -10.5347686039282 5.97299919779417e-26 1.04587215953376e-22 293.201513755457 189.855798220811 257.184074026574 9.91410711529404 20.1205372967879 10.6948108230722
11 Rhiir2_1|1672320 249.768724157264 -4.09098980770341 0.393197082370667 -10.4044256458822 2.36679025190473e-25 3.76749975553199e-22 282.871921129926 555.277173290973 575.297043396102 21.0674776199998 40.2410745935758 23.8576549130072
12 Rhiir2_1|1674323 383.66433220387 -3.06027710571573 0.302524930228096 -10.11578484923 4.70232867217042e-24 6.86148125414201e-21 857.356187919073 641.018501519726 554.132269224339 90.4662274270581 100.602686483939 58.4101206490867
13 Rhiir2_1|1844542 86.3863836391873 -5.17710386461371 0.514203335363236 -10.0682035851762 7.6360015591268e-24 1.02851067154085e-20 158.916809623554 186.793607926927 159.056484684764 4.95705355764702 3.65827950850689 4.93606653372564
14 Rhiir2_1|1882669 145.840260223988 -4.60313073734966 0.475257558887534 -9.68554976405741 3.47334754691349e-22 4.34416539617537e-19 379.016590952176 248.037413804607 210.365028131462 9.91410711529404 21.9496770510413 5.75874428934657
15 Rhiir2_1|523274 690.602414193286 1.88773297408121 0.197069047267885 9.57904348882924 9.79478149931109e-22 1.14337749368625e-18 310.682362814048 303.15683909452 268.087139508998 955.472073236463 1165.16202345944 1141.05404704624
16 Rhiir2_1|1478076 169.355040777473 -2.55520565880568 0.270313710914456 -9.45274159479946 3.30070025210475e-21 3.61220383839713e-18 259.82898373451 298.053188604713 310.416687852523 42.1349552399997 53.0450528733499 52.6513763597401
17 Rhiir2_1|1778605 141.901361636285 -3.90648328879022 0.413881578931494 -9.43864981590985 3.77613675111193e-21 3.88942085364529e-18 265.391072071335 365.421375070162 168.035479787936 19.8282142305881 14.6331180340276 18.0989106236607
18 Rhiir2_1|1636731 101.213028036168 -4.37725263322622 0.468937894366988 -9.33439733876701 1.01567409192946e-20 9.88025186093603e-18 201.824348221913 234.76792253111 144.946635236922 12.3926338941176 1.82913975425344 11.5174885786931
19 Rhiir2_1|1840459 257.284826649135 -4.035441888863 0.433338898436242 -9.31243860965494 1.24930430960141e-20 1.1513325505853e-17 408.416200732533 259.265444882182 787.586141906816 29.7423213458821 27.4370963138017 31.2617547135957
20 Rhiir2_1|1461011 86.2025470291885 -4.3832491933751 0.483451644823196 -9.06657209735653 1.22820140152442e-19 1.07529032703463e-16 150.970969142376 150.047324400318 189.841610752783 4.95705355764702 16.462257788281 4.93606653372564
21 Rhiir2_1|1615450 157.91264686931 -4.24876209347724 0.471197527999467 -9.01694478643794 1.93407841865842e-19 1.61265300527185e-16 288.43400946675 403.188388694732 211.64774171763 12.3926338941176 5.48741926276033 26.3256881798701
22 Rhiir2_1|1836293 291.786584092087 -3.23482252227665 0.360176951261612 -8.98120357492576 2.67820793575311e-19 2.13161004341077e-16 676.985608996339 425.644450849882 479.734881226627 29.7423213458821 69.5073106616309 69.1049314721589
23 Rhiir2_1|1088894 79.3194130144788 -3.8048955747733 0.431597029195885 -8.81585209671685 1.18778200575332e-18 9.0426360524959e-16 171.630154393438 159.23389528197 112.878795582736 8.67484372588229 12.8039782797741 10.6948108230722
24 Rhiir2_1|1848880 79.4327063156599 -4.7027386227251 0.541056062702974 -8.69177696527687 3.56814040140618e-18 2.60325576785926e-15 200.235180125678 127.591262245168 132.760856168331 2.47852677882351 3.65827950850689 9.87213306745127
25 Rhiir2_1|1606582 204.053065912994 -3.33650913361762 0.393555784766087 -8.47785565037674 2.29382310361383e-17 1.60659370177113e-14 470.393756485719 358.276264384433 286.045129715342 17.3496874517646 42.0702143478292 50.1833430928773
26 Rhiir2_1|1662995 1479.6619813703 -2.57835239303011 0.311338695485117 -8.28150316815779 1.21630097163879e-16 8.19131923592127e-14 2173.1873716021 2643.69095371989 2790.54340670729 267.680892112939 393.265047164491 609.604216915116
27 Rhiir2_1|1558312 168.500984824021 -2.59040383414027 0.315896462294097 -8.20016728053329 2.40052753347168e-16 1.55678655966996e-13 274.13149660063 335.820202229283 253.977290061156 45.852745408235 65.849031153124 35.3751434917004
28 Rhiir2_1|1486711 93.4999706482841 -5.1410477904751 0.63233028163885 -8.13032040336693 4.28157219745514e-16 2.67751175633713e-13 224.072701569211 193.938718612656 125.064574651327 0 14.6331180340276 3.29071102248376
29 Rhiir2_1|971331 14983.2355177584 1.828787951306 0.228201585847709 8.01391429648717 1.1111415087569e-15 6.70899579942526e-13 5713.85389001488 7424.79073257084 6608.54039593471 20372.2508585399 29260.7486487924 20519.2285806975
30 Rhiir2_1|1562316 309.017438564643 -4.46974592557477 0.558214700407812 -8.00721643896036 1.17333883822066e-15 6.84838768574791e-13 784.254455492238 574.671045152239 411.751061159752 7.43558033647053 60.3616118903637 15.6308773567978
31 Rhiir2_1|1881959 88.9290278401447 -4.6730040482601 0.585318946314612 -7.98368834236973 1.42024339904326e-15 8.02208448943469e-13 251.883143253333 171.482656457506 88.5072374455542 7.43558033647053 10.9748385255207 3.29071102248376
32 Rhiir2_1|1848411 103.489897580894 -3.920712430249 0.494283870681065 -7.93210675648129 2.15459092630048e-15 1.17896522248504e-12 184.343499163322 266.410555567912 134.043569754499 7.43558033647053 7.31655901701378 21.3896216461444
33 Rhiir2_1|1476303 71.3685802350026 -6.12171662131918 0.773277450483444 -7.91658494307827 2.44122977998877e-15 1.29533131659404e-12 189.111003452029 150.047324400318 82.093669514717 2.47852677882351 3.65827950850689 0.822677755620939
34 Rhiir2_1|1739749 3534.44233313095 1.51919810535643 0.193243606166534 7.86156983660931 3.7934883356782e-15 1.95364649287427e-12 1568.50891098448 2137.40882513106 1779.76510080734 5244.56266399055 5481.93184349757 4994.47665437472
35 Rhiir2_1|1848124 81.0830538117173 -3.12274010120829 0.397903129193452 -7.84799081006994 4.22755182013266e-15 2.11498378201494e-12 155.738473431083 121.4668816574 159.697841477848 9.91410711529404 18.2913975425344 21.3896216461444
36 Rhiir2_1|1844953 100.908608882735 -4.74074539707499 0.608711893581854 -7.78815963193843 6.79922468853975e-15 3.30706734156475e-12 242.34813467592 184.752147731004 153.284273547011 2.47852677882351 20.1205372967879 2.46803326686282
37 Rhiir2_1|1476493 112.050422748521 -2.85575352730611 0.368075417557845 -7.7586097606133 8.58654129182526e-15 4.06352264918541e-12 261.418151830746 183.731417633043 144.946635236922 24.7852677882351 31.0953758223086 26.3256881798701
38 Rhiir2_1|1779513 68.5491493507151 -5.70958987415001 0.740062212012198 -7.71501338870672 1.2096953374968e-14 5.57414877883396e-12 181.959747018969 131.674182637014 87.8658806524705 2.47852677882351 7.31655901701378 0
39 Rhiir2_1|463607 420.530241336124 -2.20324417615782 0.286158330231115 -7.69938856708583 1.36718837727939e-14 6.13832525286207e-12 680.958529236928 584.878346131852 809.392272871662 193.325088748234 102.431826238193 152.195384789874
40 Rhiir2_1|137998 352.548521178233 -3.15707500098023 0.414406146491643 -7.6183112333347 2.57015994663783e-14 1.12508751664071e-11 524.425471757727 862.516932777339 515.009504846232 29.7423213458821 91.4569877126722 92.1399086295452
41 Rhiir2_1|1701817 77.7145092325517 -3.15917144758828 0.416417912534032 -7.58654071426406 3.28559142868444e-14 1.40318794917718e-11 185.13808321144 118.404691363516 116.726936341238 18.5889508411763 10.9748385255207 16.4535551124188
42 Rhiir2_1|1508545 92.1600054137437 -4.0835390418841 0.542649753143523 -7.52518363498465 5.26462789699612e-14 2.19484843991433e-11 216.126861088033 139.840023420705 162.904625443266 6.19631694705878 23.7788168052948 4.1133887781047
43 Rhiir2_1|1885091 103.305348519904 -3.58925715204994 0.478397771177128 -7.50266278042714 6.25342822355078e-14 2.54645414405521e-11 251.883143253333 227.622811845381 92.3553782040566 14.8711606729411 18.2913975425344 14.8081996011769
44 Rhiir2_1|1829849 81.3233824820723 -9.48722828132929 1.26863991931094 -7.47826718749497 7.53089680027789e-14 2.99695461301968e-11 239.964382531566 163.316815673816 84.6590966870519 0 0 0
45 Rhiir2_1|1500798 593.674600823871 1.84409467546271 0.247808859020305 7.44160109026453 9.94722184898043e-14 3.8705745461255e-11 243.142718724037 303.15683909452 229.605731923974 838.981314631758 1161.50374395094 785.657256617997
46 Rhiir2_1|1511284 4020.58521140499 2.2840384703036 0.308395503864312 7.40619899344752 1.29970765292804e-13 4.94736543538476e-11 1407.20834921657 1219.77246706381 1480.89283523032 6326.43960294701 9553.59693646574 4135.60107750646
47 Rhiir2_1|1522243 77.7506047353939 -3.84405843870223 0.519318781822703 -7.40211710658793 1.34030218394065e-13 4.99333856187249e-11 205.002684414384 127.591262245168 105.182514065731 4.95705355764702 7.31655901701378 16.4535551124188
