"Gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"COL2215_B1_1"	"COL2215_B1_2"	"COL2215_B1_3"	"COL2215_Coinoculation_1"	"COL2215_Coinoculation_2"	"COL2215_Coinoculation_3"	"COL2215_DAOM197198_1"	"COL2215_DAOM197198_2"	"COL2215_DAOM197198_3"
"1"	"cds-GBC18645.1"	11051.924834132	13.3698110513932	0.544056723800227	24.5742961469262	2.37895262703554e-133	4.80810115450154e-129	1.5881169252112	5.54868618541898	0	6065.85605652843	7854.0665407071	7088.40531586313	22563.8231866862	33295.8005705433	22592.2350337494
"2"	"cds-GBC43465.1"	2912.25759376282	10.8923293870848	0.502363258795139	21.6821775804401	3.02236444652918e-104	3.05425039144007e-100	4.76435077563359	4.75601673035912	1.80992543123361	1454.86030070326	1275.4744423545	1563.8820040436	6808.5351760325	10625.6110425398	4470.62508525445
"3"	"cds-GBC29210.1"	613.8966362072	6.82936874728242	0.325609509851958	20.9741071456649	1.13069027025797e-97	7.61746035072795e-94	7.94058462605598	11.097372370838	14.4794034498689	442.196518311199	574.450321365768	695.211630318679	1161.06042308476	1310.77637689448	1307.85709544316
"4"	"cds-GBC32910.1"	764.847828463871	6.18839577880918	0.319603928061744	19.3627025060019	1.59304744382523e-83	8.04927047178796e-80	22.2336369529568	15.8533891011971	28.9588068997378	500.424685798742	677.223919350227	770.239420125348	1416.32902674169	2105.56459272573	1346.80297847921
"5"	"cds-GBC51899.1"	671.71853192765	6.07406756882702	0.320982737561569	18.9233465169196	7.32523051792082e-80	2.96100467995395e-76	25.4098708033791	19.8167363764964	19.9091797435697	436.289312913912	597.168695657069	545.15605070534	1392.99802533219	1980.72874730721	1027.99016850968
"6"	"cds-GBC29322.1"	1227.07840291116	-5.71058299861635	0.304821211674191	-18.7342047728625	2.6050489160974e-78	8.7751072738741e-75	2952.30936396761	1962.6495707282	2917.59979514858	1064.14085799699	1142.40967864831	860.410433562722	48.0344146666272	29.1283639309883	67.0231475504112
"7"	"cds-GBC18646.1"	846.749566774313	7.32677801554493	0.400631753884196	18.2880611546901	1.03014415700317e-74	2.79800063618036e-71	3.17623385042239	22.1947447416759	10.8595525874017	523.209620902564	718.333358544011	512.116290056532	1814.32846255089	2188.78848967141	1827.73934806392
"8"	"cds-GBC34063.1"	1334.38291009826	7.30719580873009	0.399647279880331	18.2841124576605	1.10751596108272e-74	2.79800063618036e-71	20.6455200277456	17.4387280113168	9.04962715616806	1528.27842492668	1708.20538123643	1214.21120384371	3138.70589550218	1317.0181691654	3055.89324101469
"9"	"cds-GBC49578.1"	1346.51096696132	5.17010288492829	0.289497984486081	17.858856233857	2.46641710569041e-71	5.53875068034543e-68	75.4355539475318	81.644953871165	74.2069426805781	805.911593487013	1085.07282924645	1663.68961433688	2486.81026788367	3279.02153965983	2566.80540753872
"10"	"cds-GBC26669.1"	1627.66986677056	3.74224233260206	0.210579187089665	17.7711880472243	1.18161556879675e-70	2.38816322609511e-67	240.599714169496	275.848970360829	219.905939894884	1185.66051188404	1643.29574040414	1229.35442747442	3538.077743159	2812.96771676402	3503.31803682419
"11"	"cds-GBC29329.1"	454.565746914427	-6.0119029549223	0.339227407786651	-17.7223385166547	2.81944220286888e-70	5.18034057838026e-67	936.988985874606	1019.37291920697	912.20241734174	390.719442706269	442.467385006778	341.410860037688	21.9585895618867	18.7253768127782	7.24574568112553
"12"	"cds-GBC44440.1"	615.995517156676	8.13541151809958	0.464832031597088	17.5018306938694	1.38737332884568e-68	2.33668352910833e-65	0	4.75601673035912	9.04962715616806	433.757653457932	660.996509142154	672.496794872623	1084.20535961816	1446.01520943121	1232.68248400148
"13"	"cds-GBC19815.1"	510.188710372853	4.77150796675047	0.275319030506223	17.3308323728193	2.75314881755734e-67	4.28029928858857e-64	34.9385723546463	40.4261422080526	42.5332476339899	339.24236710134	373.230434785668	540.337752277389	1034.79853310391	1279.56741553984	906.623928350832
"14"	"cds-GBC10890.1"	390.064430790189	4.66011245260972	0.269184350384573	17.3119739165818	3.82088397248014e-67	5.51599185484258e-64	30.1742215790127	22.1947447416759	41.6282849183731	302.111361746964	393.78515438256	361.372382096343	864.619463999289	674.113565260016	820.580698387467
