"Gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"COL2215_Coinoculation_1"	"COL2215_Coinoculation_2"	"COL2215_Coinoculation_3"	"COL2215_DAOM197198_1"	"COL2215_DAOM197198_2"	"COL2215_DAOM197198_3"
"1"	"cds-GBC29322.1"	495.598422190793	-4.39445725137887	0.319825698211492	-13.7401630824329	5.83442236762228e-43	1.10393105617781e-38	995.955405225804	1064.02935148142	783.004952495379	43.5536563623298	26.515600168321	60.531567411507
"2"	"cds-GBC29285.1"	495.429351311653	-3.11467823707624	0.247040748435466	-12.6079533712629	1.90885804445707e-36	1.80587515295861e-32	787.444519437055	1039.84686622048	839.381309075046	107.017555633153	90.9106291485292	107.975228355661
"3"	"cds-GBC29330.1"	1570.41509295304	-4.82771740181762	0.387354840515558	-12.4632943669739	1.18377501911311e-35	7.46606904554636e-32	3217.70207842183	3111.47977024111	2770.58472390965	42.309266180549	160.987572450521	119.427146514595
"4"	"cds-GBC23666.1"	332.791117390813	-6.38997858156889	0.53514847483266	-11.9405714153759	7.27218701896445e-33	3.43992626464566e-29	340.409817329359	710.36050454015	921.440228096562	13.6882919995894	7.57588576237744	3.27197661683822
"5"	"cds-GBC43267.1"	267.02396823865	-5.51728829922365	0.465781976367096	-11.8452163869804	2.27829534990996e-32	8.62152526312928e-29	432.818050803918	709.352900987611	429.086713967468	7.46634109068511	3.78794288118872	19.6318597010293
"6"	"cds-GBC50353.1"	309.634352480882	-3.22948984044739	0.2778762088881	-11.6220451307075	3.18421277593437e-31	1.0041414988909e-27	554.449400847355	600.531717313375	522.420904304917	43.5536563623298	73.86488618318	62.9855498741357
"7"	"cds-GBC29329.1"	188.66500355631	-4.72676853033651	0.408032063952729	-11.5843065972485	4.94955539739223e-31	1.33786482391512e-27	365.683864091632	412.109852988541	310.696365150166	19.9102429084936	17.0457429653492	6.54395323367643
"8"	"cds-GBC31744.1"	239.657182002203	-4.55130857109214	0.399031805831125	-11.4058791920419	3.90808733245101e-30	9.24311505216319e-27	492.054097902994	334.524379443021	555.620314290721	14.9326821813702	11.3638286435662	29.447789551544
"9"	"cds-GBC46709.1"	219.725854102096	-4.74309015378152	0.444811889600162	-10.6631370803623	1.51402671301116e-26	3.18298882632047e-23	568.666052151133	458.459616405345	243.044737254566	22.3990232720553	15.1517715247549	10.6339240047242
"10"	"cds-GBC17493.1"	245.681512893019	-4.04631784554501	0.396271364172263	-10.2109771519752	1.770725039403e-24	3.16434400024195e-21	281.173770230283	545.113521923718	561.257949948688	21.1546330902745	41.6673716930759	23.7218304720771
